Time,X(CH1),X(CH2),
Second,Volt,Volt,
-5.8740234e+00,-0.00000e+00,-3.99995e-02,
-5.8725586e+00,-0.00000e+00,-3.99995e-02,
-5.8710938e+00,-0.00000e+00,-3.99995e-02,
-5.8696289e+00,-0.00000e+00,-3.99995e-02,
-5.8681641e+00,-0.00000e+00,-3.99995e-02,
-5.8666992e+00,4.00000e-02,-3.99995e-02,
-5.8652344e+00,-0.00000e+00,-3.99995e-02,
-5.8637695e+00,-0.00000e+00,-3.99995e-02,
-5.8623047e+00,-0.00000e+00,-3.99995e-02,
-5.8608398e+00,-0.00000e+00,-3.99995e-02,
-5.8593750e+00,-0.00000e+00,-3.99995e-02,
-5.8579102e+00,-0.00000e+00,-3.99995e-02,
-5.8564453e+00,-0.00000e+00,-3.99995e-02,
-5.8549805e+00,-0.00000e+00,-3.99995e-02,
-5.8535156e+00,-0.00000e+00,-3.99995e-02,
-5.8520508e+00,-0.00000e+00,-3.99995e-02,
-5.8505859e+00,-0.00000e+00,-3.99995e-02,
-5.8491211e+00,-0.00000e+00,-3.99995e-02,
-5.8476563e+00,4.00000e-02,-3.99995e-02,
-5.8461914e+00,-0.00000e+00,-3.99995e-02,
-5.8447266e+00,-0.00000e+00,4.76837e-07,
-5.8432617e+00,-0.00000e+00,-3.99995e-02,
-5.8417969e+00,-0.00000e+00,-3.99995e-02,
-5.8403320e+00,-0.00000e+00,-3.99995e-02,
-5.8388672e+00,-0.00000e+00,-3.99995e-02,
-5.8374023e+00,-0.00000e+00,-3.99995e-02,
-5.8359375e+00,-0.00000e+00,-3.99995e-02,
-5.8344727e+00,4.00000e-02,-3.99995e-02,
-5.8330078e+00,-0.00000e+00,-3.99995e-02,
-5.8315430e+00,-0.00000e+00,-3.99995e-02,
-5.8300781e+00,-0.00000e+00,-3.99995e-02,
-5.8286133e+00,-0.00000e+00,-3.99995e-02,
-5.8271484e+00,-0.00000e+00,-3.99995e-02,
-5.8256836e+00,-0.00000e+00,-3.99995e-02,
-5.8242188e+00,-0.00000e+00,-3.99995e-02,
-5.8227539e+00,-0.00000e+00,-3.99995e-02,
-5.8212891e+00,-0.00000e+00,-3.99995e-02,
-5.8198242e+00,-0.00000e+00,-3.99995e-02,
-5.8183594e+00,-0.00000e+00,-3.99995e-02,
-5.8168945e+00,-4.00000e-02,-3.99995e-02,
-5.8154297e+00,-0.00000e+00,-7.99999e-02,
-5.8139648e+00,-0.00000e+00,-3.99995e-02,
-5.8125000e+00,-0.00000e+00,-3.99995e-02,
-5.8110352e+00,-0.00000e+00,-3.99995e-02,
-5.8095703e+00,-0.00000e+00,-3.99995e-02,
-5.8081055e+00,-0.00000e+00,-3.99995e-02,
-5.8066406e+00,-0.00000e+00,-3.99995e-02,
-5.8051758e+00,-0.00000e+00,-3.99995e-02,
-5.8037109e+00,-0.00000e+00,-3.99995e-02,
-5.8022461e+00,-0.00000e+00,-3.99995e-02,
-5.8007813e+00,-0.00000e+00,-7.99999e-02,
-5.7993164e+00,-0.00000e+00,-3.99995e-02,
-5.7978516e+00,-0.00000e+00,-3.99995e-02,
-5.7963867e+00,-0.00000e+00,-3.99995e-02,
-5.7949219e+00,-0.00000e+00,-3.99995e-02,
-5.7934570e+00,-4.00000e-02,-3.99995e-02,
-5.7919922e+00,4.00000e-02,-3.99995e-02,
-5.7905273e+00,-0.00000e+00,-3.99995e-02,
-5.7890625e+00,-0.00000e+00,-3.99995e-02,
-5.7875977e+00,-4.00000e-02,-3.99995e-02,
-5.7861328e+00,-0.00000e+00,4.76837e-07,
-5.7846680e+00,-0.00000e+00,-3.99995e-02,
-5.7832031e+00,-0.00000e+00,-3.99995e-02,
-5.7817383e+00,-0.00000e+00,-3.99995e-02,
-5.7802734e+00,-0.00000e+00,-3.99995e-02,
-5.7788086e+00,-0.00000e+00,4.76837e-07,
-5.7773438e+00,-0.00000e+00,-3.99995e-02,
-5.7758789e+00,-0.00000e+00,-3.99995e-02,
-5.7744141e+00,-0.00000e+00,-3.99995e-02,
-5.7729492e+00,-0.00000e+00,-3.99995e-02,
-5.7714844e+00,-0.00000e+00,-3.99995e-02,
-5.7700195e+00,-0.00000e+00,4.76837e-07,
-5.7685547e+00,-0.00000e+00,-3.99995e-02,
-5.7670898e+00,-0.00000e+00,-3.99995e-02,
-5.7656250e+00,-0.00000e+00,-3.99995e-02,
-5.7641602e+00,-0.00000e+00,-3.99995e-02,
-5.7626953e+00,-0.00000e+00,-3.99995e-02,
-5.7612305e+00,-0.00000e+00,-3.99995e-02,
-5.7597656e+00,-4.00000e-02,-3.99995e-02,
-5.7583008e+00,-0.00000e+00,-3.99995e-02,
-5.7568359e+00,-0.00000e+00,-3.99995e-02,
-5.7553711e+00,-0.00000e+00,-3.99995e-02,
-5.7539063e+00,-0.00000e+00,-3.99995e-02,
-5.7524414e+00,-0.00000e+00,-3.99995e-02,
-5.7509766e+00,-0.00000e+00,-3.99995e-02,
-5.7495117e+00,-0.00000e+00,-3.99995e-02,
-5.7480469e+00,-0.00000e+00,-3.99995e-02,
-5.7465820e+00,-0.00000e+00,4.76837e-07,
-5.7451172e+00,-0.00000e+00,4.76837e-07,
-5.7436523e+00,-0.00000e+00,-3.99995e-02,
-5.7421875e+00,-0.00000e+00,-3.99995e-02,
-5.7407227e+00,-0.00000e+00,-3.99995e-02,
-5.7392578e+00,-0.00000e+00,-3.99995e-02,
-5.7377930e+00,-0.00000e+00,-3.99995e-02,
-5.7363281e+00,-0.00000e+00,-3.99995e-02,
-5.7348633e+00,-0.00000e+00,-3.99995e-02,
-5.7333984e+00,-0.00000e+00,-3.99995e-02,
-5.7319336e+00,-0.00000e+00,-3.99995e-02,
-5.7304688e+00,-0.00000e+00,-3.99995e-02,
-5.7290039e+00,-0.00000e+00,-3.99995e-02,
-5.7275391e+00,4.00000e-02,-3.99995e-02,
-5.7260742e+00,-4.00000e-02,-3.99995e-02,
-5.7246094e+00,-0.00000e+00,-7.99999e-02,
-5.7231445e+00,-0.00000e+00,-3.99995e-02,
-5.7216797e+00,-0.00000e+00,-3.99995e-02,
-5.7202148e+00,-0.00000e+00,-3.99995e-02,
-5.7187500e+00,-0.00000e+00,-3.99995e-02,
-5.7172852e+00,-0.00000e+00,-7.99999e-02,
-5.7158203e+00,-0.00000e+00,-7.99999e-02,
-5.7143555e+00,-0.00000e+00,-3.99995e-02,
-5.7128906e+00,-0.00000e+00,-3.99995e-02,
-5.7114258e+00,4.00000e-02,-3.99995e-02,
-5.7099609e+00,-0.00000e+00,-3.99995e-02,
-5.7084961e+00,-0.00000e+00,-3.99995e-02,
-5.7070313e+00,4.00000e-02,-3.99995e-02,
-5.7055664e+00,4.00000e-02,-3.99995e-02,
-5.7041016e+00,-0.00000e+00,-3.99995e-02,
-5.7026367e+00,-0.00000e+00,-3.99995e-02,
-5.7011719e+00,-0.00000e+00,-3.99995e-02,
-5.6997070e+00,-0.00000e+00,-3.99995e-02,
-5.6982422e+00,-4.00000e-02,-3.99995e-02,
-5.6967773e+00,4.00000e-02,-7.99999e-02,
-5.6953125e+00,-0.00000e+00,-3.99995e-02,
-5.6938477e+00,-0.00000e+00,-3.99995e-02,
-5.6923828e+00,-0.00000e+00,4.76837e-07,
-5.6909180e+00,-0.00000e+00,4.76837e-07,
-5.6894531e+00,-0.00000e+00,-3.99995e-02,
-5.6879883e+00,-0.00000e+00,-3.99995e-02,
-5.6865234e+00,-0.00000e+00,-3.99995e-02,
-5.6850586e+00,-0.00000e+00,-3.99995e-02,
-5.6835938e+00,-0.00000e+00,-3.99995e-02,
-5.6821289e+00,-0.00000e+00,-3.99995e-02,
-5.6806641e+00,-4.00000e-02,4.76837e-07,
-5.6791992e+00,4.00000e-02,-3.99995e-02,
-5.6777344e+00,-0.00000e+00,-3.99995e-02,
-5.6762695e+00,-4.00000e-02,4.76837e-07,
-5.6748047e+00,-0.00000e+00,-3.99995e-02,
-5.6733398e+00,-0.00000e+00,-3.99995e-02,
-5.6718750e+00,-0.00000e+00,-3.99995e-02,
-5.6704102e+00,-0.00000e+00,-3.99995e-02,
-5.6689453e+00,-0.00000e+00,-3.99995e-02,
-5.6674805e+00,-0.00000e+00,-3.99995e-02,
-5.6660156e+00,-0.00000e+00,-3.99995e-02,
-5.6645508e+00,-0.00000e+00,-7.99999e-02,
-5.6630859e+00,-0.00000e+00,-3.99995e-02,
-5.6616211e+00,4.00000e-02,-3.99995e-02,
-5.6601563e+00,-0.00000e+00,-3.99995e-02,
-5.6586914e+00,-0.00000e+00,-3.99995e-02,
-5.6572266e+00,-0.00000e+00,4.76837e-07,
-5.6557617e+00,-0.00000e+00,-3.99995e-02,
-5.6542969e+00,-0.00000e+00,-3.99995e-02,
-5.6528320e+00,4.00000e-02,-3.99995e-02,
-5.6513672e+00,-0.00000e+00,-3.99995e-02,
-5.6499023e+00,-0.00000e+00,-3.99995e-02,
-5.6484375e+00,-0.00000e+00,-3.99995e-02,
-5.6469727e+00,-0.00000e+00,-3.99995e-02,
-5.6455078e+00,-0.00000e+00,-3.99995e-02,
-5.6440430e+00,-0.00000e+00,-3.99995e-02,
-5.6425781e+00,-0.00000e+00,-3.99995e-02,
-5.6411133e+00,-0.00000e+00,-3.99995e-02,
-5.6396484e+00,-0.00000e+00,-3.99995e-02,
-5.6381836e+00,-0.00000e+00,-3.99995e-02,
-5.6367188e+00,-0.00000e+00,4.76837e-07,
-5.6352539e+00,-0.00000e+00,-3.99995e-02,
-5.6337891e+00,-0.00000e+00,4.76837e-07,
-5.6323242e+00,-0.00000e+00,-3.99995e-02,
-5.6308594e+00,-0.00000e+00,4.76837e-07,
-5.6293945e+00,-0.00000e+00,-3.99995e-02,
-5.6279297e+00,-0.00000e+00,-3.99995e-02,
-5.6264648e+00,-0.00000e+00,-3.99995e-02,
-5.6250000e+00,-0.00000e+00,-3.99995e-02,
-5.6235352e+00,4.00000e-02,-3.99995e-02,
-5.6220703e+00,-0.00000e+00,-3.99995e-02,
-5.6206055e+00,-0.00000e+00,-3.99995e-02,
-5.6191406e+00,4.00000e-02,4.76837e-07,
-5.6176758e+00,-0.00000e+00,-3.99995e-02,
-5.6162109e+00,-0.00000e+00,-3.99995e-02,
-5.6147461e+00,-0.00000e+00,-3.99995e-02,
-5.6132813e+00,-0.00000e+00,-3.99995e-02,
-5.6118164e+00,-0.00000e+00,-3.99995e-02,
-5.6103516e+00,-0.00000e+00,-3.99995e-02,
-5.6088867e+00,-0.00000e+00,-3.99995e-02,
-5.6074219e+00,-0.00000e+00,-3.99995e-02,
-5.6059570e+00,-0.00000e+00,-3.99995e-02,
-5.6044922e+00,-0.00000e+00,4.76837e-07,
-5.6030273e+00,-0.00000e+00,-3.99995e-02,
-5.6015625e+00,-0.00000e+00,4.76837e-07,
-5.6000977e+00,-0.00000e+00,-3.99995e-02,
-5.5986328e+00,-0.00000e+00,-3.99995e-02,
-5.5971680e+00,-0.00000e+00,-3.99995e-02,
-5.5957031e+00,-0.00000e+00,-3.99995e-02,
-5.5942383e+00,-0.00000e+00,-3.99995e-02,
-5.5927734e+00,-0.00000e+00,-3.99995e-02,
-5.5913086e+00,-0.00000e+00,-3.99995e-02,
-5.5898438e+00,-0.00000e+00,-3.99995e-02,
-5.5883789e+00,-0.00000e+00,-3.99995e-02,
-5.5869141e+00,-0.00000e+00,-3.99995e-02,
-5.5854492e+00,-0.00000e+00,-3.99995e-02,
-5.5839844e+00,-0.00000e+00,4.76837e-07,
-5.5825195e+00,-0.00000e+00,-3.99995e-02,
-5.5810547e+00,-0.00000e+00,-3.99995e-02,
-5.5795898e+00,-4.00000e-02,-3.99995e-02,
-5.5781250e+00,-0.00000e+00,-3.99995e-02,
-5.5766602e+00,-0.00000e+00,-3.99995e-02,
-5.5751953e+00,-0.00000e+00,-3.99995e-02,
-5.5737305e+00,-0.00000e+00,-3.99995e-02,
-5.5722656e+00,-0.00000e+00,-3.99995e-02,
-5.5708008e+00,-0.00000e+00,4.76837e-07,
-5.5693359e+00,-0.00000e+00,-3.99995e-02,
-5.5678711e+00,-0.00000e+00,-3.99995e-02,
-5.5664063e+00,-0.00000e+00,-3.99995e-02,
-5.5649414e+00,-0.00000e+00,-3.99995e-02,
-5.5634766e+00,-0.00000e+00,-3.99995e-02,
-5.5620117e+00,-0.00000e+00,-3.99995e-02,
-5.5605469e+00,-0.00000e+00,-3.99995e-02,
-5.5590820e+00,-0.00000e+00,-3.99995e-02,
-5.5576172e+00,-0.00000e+00,-3.99995e-02,
-5.5561523e+00,-0.00000e+00,-3.99995e-02,
-5.5546875e+00,-0.00000e+00,-3.99995e-02,
-5.5532227e+00,-0.00000e+00,-3.99995e-02,
-5.5517578e+00,-0.00000e+00,-3.99995e-02,
-5.5502930e+00,-0.00000e+00,-3.99995e-02,
-5.5488281e+00,-0.00000e+00,-3.99995e-02,
-5.5473633e+00,-0.00000e+00,-7.99999e-02,
-5.5458984e+00,-0.00000e+00,-3.99995e-02,
-5.5444336e+00,-0.00000e+00,-3.99995e-02,
-5.5429688e+00,4.00000e-02,4.76837e-07,
-5.5415039e+00,-4.00000e-02,-3.99995e-02,
-5.5400391e+00,-0.00000e+00,-3.99995e-02,
-5.5385742e+00,-0.00000e+00,-3.99995e-02,
-5.5371094e+00,-0.00000e+00,-3.99995e-02,
-5.5356445e+00,-0.00000e+00,-3.99995e-02,
