Time,X(CH1),X(CH2),
Second,Volt,Volt,
-1.3107200e-01,-2.00000e-03,2.00000e-02,
-1.3107149e-01,-2.00000e-03,2.00000e-02,
-1.3107099e-01,-2.00000e-03,2.00000e-02,
-1.3107048e-01,-2.00000e-03,2.00000e-02,
-1.3106997e-01,-2.00000e-03,2.00000e-02,
-1.3106947e-01,-2.00000e-03,2.00000e-02,
-1.3106896e-01,-2.00000e-03,2.00000e-02,
-1.3106845e-01,-2.00000e-03,2.00000e-02,
-1.3106795e-01,-2.00000e-03,2.00000e-02,
-1.3106744e-01,-2.00000e-03,2.00000e-02,
-1.3106693e-01,-2.00000e-03,2.00000e-02,
-1.3106643e-01,-2.00000e-03,2.00000e-02,
-1.3106592e-01,-2.00000e-03,2.00000e-02,
-1.3106541e-01,-2.00000e-03,2.00000e-02,
-1.3106491e-01,-2.00000e-03,2.00000e-02,
-1.3106440e-01,-2.00000e-03,2.00000e-02,
-1.3106389e-01,-2.00000e-03,2.00000e-02,
-1.3106339e-01,-2.00000e-03,2.00000e-02,
-1.3106288e-01,-2.00000e-03,2.00000e-02,
-1.3106237e-01,-2.00000e-03,2.00000e-02,
-1.3106187e-01,-2.00000e-03,2.00000e-02,
-1.3106136e-01,-2.00000e-03,2.00000e-02,
-1.3106085e-01,-0.00000e+00,4.00002e-02,
-1.3106035e-01,-2.00000e-03,4.00002e-02,
-1.3105984e-01,-0.00000e+00,2.00000e-02,
-1.3105933e-01,-0.00000e+00,2.00000e-02,
-1.3105883e-01,-2.00000e-03,2.00000e-02,
-1.3105832e-01,-0.00000e+00,2.00000e-02,
-1.3105781e-01,-2.00000e-03,4.00002e-02,
-1.3105731e-01,-2.00000e-03,2.00000e-02,
-1.3105680e-01,-0.00000e+00,4.00002e-02,
-1.3105629e-01,-2.00000e-03,4.00002e-02,
-1.3105579e-01,-2.00000e-03,4.00002e-02,
-1.3105528e-01,-2.00000e-03,2.00000e-02,
-1.3105477e-01,-2.00000e-03,2.00000e-02,
-1.3105427e-01,-2.00000e-03,2.00000e-02,
-1.3105376e-01,-2.00000e-03,4.00002e-02,
-1.3105325e-01,-0.00000e+00,2.00000e-02,
-1.3105275e-01,-2.00000e-03,4.00002e-02,
-1.3105224e-01,-2.00000e-03,4.00002e-02,
-1.3105173e-01,-2.00000e-03,4.00002e-02,
-1.3105123e-01,-0.00000e+00,4.00002e-02,
-1.3105072e-01,-2.00000e-03,2.00000e-02,
-1.3105021e-01,-2.00000e-03,4.00002e-02,
-1.3104971e-01,-2.00000e-03,2.00000e-02,
-1.3104920e-01,-2.00000e-03,2.00000e-02,
-1.3104869e-01,-2.00000e-03,2.00000e-02,
-1.3104819e-01,-0.00000e+00,4.00002e-02,
-1.3104768e-01,-2.00000e-03,2.00000e-02,
-1.3104717e-01,-2.00000e-03,4.00002e-02,
-1.3104667e-01,-0.00000e+00,2.00000e-02,
-1.3104616e-01,-2.00000e-03,4.00002e-02,
-1.3104565e-01,-0.00000e+00,4.00002e-02,
-1.3104515e-01,-2.00000e-03,4.00002e-02,
-1.3104464e-01,-0.00000e+00,2.00000e-02,
-1.3104413e-01,-2.00000e-03,2.00000e-02,
-1.3104363e-01,-2.00000e-03,2.00000e-02,
-1.3104312e-01,-2.00000e-03,2.00000e-02,
-1.3104261e-01,-2.00000e-03,2.00000e-02,
-1.3104211e-01,-2.00000e-03,4.00002e-02,
-1.3104160e-01,-2.00000e-03,2.00000e-02,
-1.3104109e-01,-2.00000e-03,4.00002e-02,
-1.3104059e-01,-2.00000e-03,2.00000e-02,
-1.3104008e-01,-0.00000e+00,2.00000e-02,
-1.3103957e-01,-2.00000e-03,2.00000e-02,
-1.3103907e-01,-2.00000e-03,4.00002e-02,
-1.3103856e-01,-2.00000e-03,4.00002e-02,
-1.3103805e-01,-2.00000e-03,2.00000e-02,
-1.3103755e-01,-2.00000e-03,4.00002e-02,
-1.3103704e-01,-0.00000e+00,4.00002e-02,
-1.3103653e-01,-0.00000e+00,2.00000e-02,
-1.3103603e-01,-2.00000e-03,2.00000e-02,
-1.3103552e-01,-2.00000e-03,4.00002e-02,
-1.3103501e-01,-2.00000e-03,2.00000e-02,
-1.3103451e-01,-2.00000e-03,4.00002e-02,
-1.3103400e-01,-2.00000e-03,4.00002e-02,
-1.3103350e-01,-2.00000e-03,4.00002e-02,
-1.3103299e-01,-2.00000e-03,4.00002e-02,
-1.3103248e-01,-0.00000e+00,4.00002e-02,
-1.3103198e-01,-0.00000e+00,2.00000e-02,
-1.3103147e-01,-2.00000e-03,4.00002e-02,
-1.3103096e-01,-0.00000e+00,4.00002e-02,
-1.3103046e-01,-2.00000e-03,2.00000e-02,
-1.3102995e-01,-2.00000e-03,4.00002e-02,
-1.3102944e-01,-2.00000e-03,4.00002e-02,
-1.3102894e-01,-2.00000e-03,2.00000e-02,
-1.3102843e-01,-2.00000e-03,4.00002e-02,
-1.3102792e-01,-2.00000e-03,2.00000e-02,
-1.3102742e-01,-2.00000e-03,4.00002e-02,
-1.3102691e-01,-0.00000e+00,4.00002e-02,
-1.3102640e-01,-2.00000e-03,2.00000e-02,
-1.3102590e-01,-2.00000e-03,4.00002e-02,
-1.3102539e-01,-2.00000e-03,2.00000e-02,
-1.3102488e-01,-0.00000e+00,2.00000e-02,
-1.3102438e-01,-0.00000e+00,4.00002e-02,
-1.3102387e-01,-0.00000e+00,4.00002e-02,
-1.3102336e-01,-2.00000e-03,4.00002e-02,
-1.3102286e-01,-0.00000e+00,4.00002e-02,
-1.3102235e-01,-2.00000e-03,2.00000e-02,
-1.3102184e-01,-2.00000e-03,4.00002e-02,
-1.3102134e-01,-2.00000e-03,2.00000e-02,
-1.3102083e-01,-2.00000e-03,4.00002e-02,
-1.3102032e-01,-0.00000e+00,4.00002e-02,
-1.3101982e-01,-2.00000e-03,2.00000e-02,
-1.3101931e-01,-2.00000e-03,2.00000e-02,
-1.3101880e-01,-2.00000e-03,4.00002e-02,
-1.3101830e-01,-2.00000e-03,2.00000e-02,
-1.3101779e-01,-2.00000e-03,4.00002e-02,
-1.3101728e-01,-2.00000e-03,2.00000e-02,
-1.3101678e-01,-2.00000e-03,4.00002e-02,
-1.3101627e-01,-0.00000e+00,2.00000e-02,
-1.3101576e-01,-2.00000e-03,4.00002e-02,
-1.3101526e-01,-2.00000e-03,4.00002e-02,
-1.3101475e-01,-0.00000e+00,2.00000e-02,
-1.3101424e-01,-2.00000e-03,2.00000e-02,
-1.3101374e-01,-2.00000e-03,2.00000e-02,
-1.3101323e-01,-2.00000e-03,2.00000e-02,
-1.3101272e-01,-2.00000e-03,4.00002e-02,
-1.3101222e-01,-0.00000e+00,4.00002e-02,
-1.3101171e-01,-0.00000e+00,4.00002e-02,
-1.3101120e-01,-2.00000e-03,4.00002e-02,
-1.3101070e-01,-0.00000e+00,4.00002e-02,
-1.3101019e-01,-2.00000e-03,4.00002e-02,
-1.3100968e-01,-2.00000e-03,4.00002e-02,
-1.3100918e-01,-2.00000e-03,4.00002e-02,
-1.3100867e-01,-2.00000e-03,2.00000e-02,
-1.3100816e-01,-0.00000e+00,2.00000e-02,
-1.3100766e-01,-2.00000e-03,4.00002e-02,
-1.3100715e-01,-2.00000e-03,2.00000e-02,
-1.3100664e-01,-0.00000e+00,2.00000e-02,
-1.3100614e-01,-2.00000e-03,4.00002e-02,
-1.3100563e-01,-2.00000e-03,4.00002e-02,
-1.3100512e-01,-2.00000e-03,4.00002e-02,
-1.3100462e-01,-2.00000e-03,4.00002e-02,
-1.3100411e-01,-2.00000e-03,2.00000e-02,
-1.3100360e-01,-2.00000e-03,2.00000e-02,
-1.3100310e-01,-2.00000e-03,2.00000e-02,
-1.3100259e-01,-0.00000e+00,2.00000e-02,
-1.3100208e-01,-2.00000e-03,4.00002e-02,
-1.3100158e-01,-2.00000e-03,4.00002e-02,
-1.3100107e-01,-2.00000e-03,4.00002e-02,
-1.3100056e-01,-2.00000e-03,2.00000e-02,
-1.3100006e-01,-2.00000e-03,2.00000e-02,
-1.3099955e-01,-0.00000e+00,2.00000e-02,
-1.3099904e-01,-2.00000e-03,4.00002e-02,
-1.3099854e-01,-2.00000e-03,4.00002e-02,
-1.3099803e-01,-2.00000e-03,2.00000e-02,
-1.3099752e-01,-0.00000e+00,2.00000e-02,
-1.3099702e-01,-2.00000e-03,4.00002e-02,
-1.3099651e-01,-2.00000e-03,4.00002e-02,
-1.3099600e-01,-2.00000e-03,4.00002e-02,
-1.3099550e-01,-0.00000e+00,4.00002e-02,
-1.3099499e-01,-2.00000e-03,2.00000e-02,
-1.3099448e-01,-0.00000e+00,4.00002e-02,
-1.3099398e-01,-2.00000e-03,4.00002e-02,
-1.3099347e-01,-0.00000e+00,4.00002e-02,
-1.3099296e-01,-2.00000e-03,4.00002e-02,
-1.3099246e-01,-2.00000e-03,2.00000e-02,
-1.3099195e-01,-0.00000e+00,4.00002e-02,
-1.3099144e-01,-2.00000e-03,4.00002e-02,
-1.3099094e-01,-2.00000e-03,4.00002e-02,
-1.3099043e-01,-2.00000e-03,2.00000e-02,
-1.3098992e-01,-2.00000e-03,2.00000e-02,
-1.3098942e-01,-2.00000e-03,2.00000e-02,
-1.3098891e-01,-2.00000e-03,4.00002e-02,
-1.3098840e-01,-2.00000e-03,4.00002e-02,
